layer,stage,factor,alpha,beta,gamma,n_images,count,mean,std,p05,p50,p95,min,max,status
model.8.eca,Backbone,w_stat,-0.00644683837890625,0.067138671875,0.0408935546875,146,37376,0.9603012971921301,0.015088765233939363,0.9360736012458801,0.9648255407810211,0.9700232595205307,0.7256134748458862,0.9705249667167664,Hard_Test_aggregate_from_seed42_best_checkpoint
model.8.eca,Backbone,w_final,-0.00644683837890625,0.067138671875,0.0408935546875,146,37376,0.48756354217328235,0.053880245563834264,0.4086216241121292,0.4849005937576294,0.5766486674547195,0.276848167181015,0.7857323884963989,Hard_Test_aggregate_from_seed42_best_checkpoint
model.13.eca,Fusion/Detect,corr,-0.02587890625,0.08477783203125,-0.0335693359375,146,146,0.49909938320721664,0.004565990931765429,0.4900037795305252,0.4994785189628601,0.5048420578241348,0.4858796000480652,0.5061937570571899,Hard_Test_aggregate_from_seed42_best_checkpoint
model.13.eca,Fusion/Detect,w_eca,-0.02587890625,0.08477783203125,-0.0335693359375,146,18688,0.5000885327486959,0.026339472541190234,0.45051589608192444,0.5032402276992798,0.5388630867004395,0.37148186564445496,0.5834616422653198,Hard_Test_aggregate_from_seed42_best_checkpoint
model.13.eca,Fusion/Detect,w_sup,-0.02587890625,0.08477783203125,-0.0335693359375,146,18688,0.9428647371449138,0.002103105446739381,0.939226844906807,0.9434755742549896,0.9444488883018494,0.9215381741523743,0.9444929957389832,Hard_Test_aggregate_from_seed42_best_checkpoint
model.13.eca,Fusion/Detect,w_rec,-0.02587890625,0.08477783203125,-0.0335693359375,146,18688,0.9870734541064562,0.0015457388948731021,0.9854589104652405,0.9865584969520569,0.9904045045375824,0.9853147268295288,0.9951704144477844,Hard_Test_aggregate_from_seed42_best_checkpoint
model.13.eca,Fusion/Detect,w_bri,-0.02587890625,0.08477783203125,-0.0335693359375,146,146,0.9832455654666848,0.0001532785013929427,0.9830527752637863,0.9832328259944916,0.9835509061813354,0.9830074310302734,0.9836893677711487,Hard_Test_aggregate_from_seed42_best_checkpoint
model.13.eca,Fusion/Detect,w_stat,-0.02587890625,0.08477783203125,-0.0335693359375,146,18688,0.9150825858192697,0.0020104631187612553,0.9121920168399811,0.9151330888271332,0.9180765867233276,0.8961594104766846,0.922793984413147,Hard_Test_aggregate_from_seed42_best_checkpoint
model.13.eca,Fusion/Detect,w_final,-0.02587890625,0.08477783203125,-0.0335693359375,146,18688,0.4576272127515164,0.02423153965447452,0.4123486265540123,0.46024520695209503,0.4935802161693573,0.34091058373451233,0.5346052050590515,Hard_Test_aggregate_from_seed42_best_checkpoint
model.16.eca,Fusion/Detect,corr,-0.03924560546875,0.061859130859375,-0.019805908203125,146,146,0.43113038617454164,0.0032134281687559085,0.4263221099972725,0.4310707151889801,0.4350743740797043,0.4235914349555969,0.43558740615844727,Hard_Test_aggregate_from_seed42_best_checkpoint
